itype,inclination_degrees,eccentricity_std,period_minutes_std,name_of_satellite_alternate_names,country_org_of_un_registry,country_of_operator_owner,operator_owner,users,purpose,detailed_purpose,class_of_orbit,type_of_orbit,longitude_of_geo_degrees,perigee_km,apogee_km,eccentricity,period_minutes,launch_mass_kg,dry_mass_kg,power_watts,date_of_launch,expected_lifetime_yrs,contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number,comments
Low,0.01,-0.16270458234040056,1.2394690535689465,"COMS-1 (Communication, Ocean and Meteorological Satellite; Cheollian)",South Korea,South Korea,Korea Aerospace Research Institute (KARI),Government,Earth Observation/Communications,Optical Imaging/Meteorology,GEO,NA,128,35783,35791,9.48834120074958e-5,1436.1,2460,NA,NA,2010-06-26T00:00:00Z,NA,EADS Astrium/Electronics and Telecommunications Research Institute (ETRI),South Korea,Guiana Space Center,Ariane 5 ECA,2010-032A,36744,"Multi-mission satellite with three payloads: one for meteorology, one for ocean observation and one for communications."
Low,0.05,-0.16056363145883873,1.2394690535689465,COMSATBw-1 (COmmunications SATellite für BundesWehr),Germany,Germany,Armed Forces,Military,Communications,NA,GEO,NA,63,35773,35799,3.083784040231521e-4,1436.1,2440,NA,3500,2009-10-01T00:00:00Z,15,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5,2009-054B,35943,Germany's first military communications satellite.
Low,0.08,-0.16199095649841308,1.2394827612326533,COMSATBw-2 (COmmunications SATellite für BundesWehr),Germany,Germany,Armed Forces,Military,Communications,NA,GEO,NA,13.2,35780,35794,1.6604597101311762e-4,1436.11,2440,NA,3500,2010-05-21T00:00:00Z,15,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5,2010-021B,36582,"SHF (Super-High-Frequency), and UHF transponders (Ultra-High-Frequency)."
High,74.75,-0.16219638794530836,-0.5993866173758189,Condor E2,NR,South Africa,Armed Forces,Military,Earth Observation,Radar Imaging,LEO,Polar,0,499,501,1.455604075691412e-4,94.62,NA,NA,NA,2014-12-19T00:00:00Z,NA,NPO Mashinostroyeniya,Russia,Baikonur Cosmodrome,Strela,2014-084A,40353,"Radar earth observation satellite built for, reportedly, the military of South Africa under Project Flute."
High,98.8,-0.14903277450223804,-0.589955744745515,Coriolis (Windsat),USA,USA,US Air Force/ US Navy/NASA,Military,Earth Observation,NA,LEO,Sun-Synchronous,0,820,841,0.0014582320672175543,101.5,817,395,1174,2003-01-06T00:00:00Z,3,"Spectrum Astro, Inc.",USA,Vandenberg AFB,Titan 2,2003-001A,27640,Monitor ocean winds and image Solar Mass Ejections (SME).
High,72,-0.1133057493698861,-0.5907782045679253,"COSMIC-A (Formosat-3A, Constellation Observing System for Meteorology, Ionosphere and Climate)",NR,Taiwan/USA,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Government/Civil,Earth Observation,Meteorology,LEO,Polar,0,764,836,0.00502092050209205,100.9,70,NA,46,2006-04-15T00:00:00Z,2,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur-1,2006-011A,29047,“. . . Provide atmospheric data daily in real time over thousands of points on Earth for both research and operational weather forecasting by measuring the bending of radio signals from the U.S. Global Positioning System (GPS) as the signals pass through Earth's atmosphere.”
High,72,-0.12029885132727006,-0.5907782045679253,"COSMIC-B (Formosat-3B, Constellation Observing System for Meteorology, Ionosphere and Climate)",NR,Taiwan/USA,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Government/Civil,Earth Observation,Meteorology,LEO,Polar,0,769,831,0.004323570432357043,100.9,70,NA,46,2006-04-15T00:00:00Z,2,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur-1,2006-011B,29048,“. . . Provide atmospheric data daily in real time over thousands of points on Earth for both research and operational weather forecasting by measuring the bending of radio signals from the U.S. Global Positioning System (GPS) as the signals pass through Earth's atmosphere.”
High,72,-0.10910544185722781,-0.5935197373092926,"COSMIC-D (Formosat-3D, Constellation Observing System for Meteorology, Ionosphere and Climate)",NR,Taiwan/USA,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Government/Civil,Earth Observation,Meteorology,LEO,Polar,0,669,746,0.005439773931472978,98.9,70,NA,46,2006-04-15T00:00:00Z,2,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur-1,2006-011D,29050,“. . . Provide atmospheric data daily in real time over thousands of points on Earth for both research and operational weather forecasting by measuring the bending of radio signals from the U.S. Global Positioning System (GPS) as the signals pass through Earth's atmosphere.”
High,72,-0.09512368428068785,-0.5907782045679253,"COSMIC-E (Formosat-3E, Constellation Observing System for Meteorology, Ionosphere and Climate)",NR,Taiwan/USA,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Government/Civil,Earth Observation,Meteorology,LEO,Polar,0,751,849,0.006834030683403068,100.9,70,NA,46,2006-04-15T00:00:00Z,2,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur-1,2006-011E,29051,“. . . Provide atmospheric data daily in real time over thousands of points on Earth for both research and operational weather forecasting by measuring the bending of radio signals from the U.S. Global Positioning System (GPS) as the signals pass through Earth's atmosphere.”
High,72,-0.12449471250170041,-0.5907782045679253,"COSMIC-F (Formosat-3F, Constellation Observing System for Meteorology, Ionosphere and Climate)",NR,Taiwan/USA,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Government/Civil,Earth Observation,Meteorology,LEO,Polar,0,772,828,0.003905160390516039,100.9,70,NA,46,2006-04-15T00:00:00Z,2,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur-1,2006-011F,29052,“. . . Provide atmospheric data daily in real time over thousands of points on Earth for both research and operational weather forecasting by measuring the bending of radio signals from the U.S. Global Positioning System (GPS) as the signals pass through Earth's atmosphere.”
High,82.4,0.05297447332539555,-0.5750006836413559,Cosmos 2504,Russia,Russia,Ministry of Defense,Military,Technology Development,NA,LEO,Polar,0,1171,1504,0.021602335387609473,112.41,NA,NA,NA,2015-03-31T00:00:00Z,NA,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2015-020D,40555,Unknown purpose; displays high maneuverability.
High,98,-0.15295829361145186,-0.5948905036799764,Cosmos 2519 (Napryazhenie No. 1?),Russia,Russia,Ministry of Defense,Military,Space Observation,NA,LEO,Sun-Synchronous,0,653,668,0.0010667804565820354,97.9,NA,NA,NA,2017-06-23T00:00:00Z,NA,NPO Lavochkin,Russia,Plesetsk Cosmodrome,Soyuz 2.1v,2017-037A,42798,"Designed to make extremely accurate measurements of Earth’s shape and gravitational field. Two months after launch released a small ""inspector satellite."" Made clear it would only inspect its host satellite."
High,97.9,-0.14511983908802542,-0.595850040139455,Cosmos 2519 Subsatellite,Russia,Russia,Ministry of Defense,Military,Space Observation,NA,LEO,Sun-Synchronous,0,650,676,0.0018484288354898336,97.2,NA,NA,NA,2017-06-23T00:00:00Z,NA,NPO Lavochkin,Russia,Plesetsk Cosmodrome,Soyuz 2.1v,2017-037D,42919,Sputnik inspector.
High,97.9,-0.16293902173928299,-0.595850040139455,COSMO-Skymed 1 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Italy,Italian Space Agency/Ministry of Defense,Military/Civil,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,622,623,7.150518412584913e-5,97.2,1700,NA,3600,2007-06-08T00:00:00Z,5,Thales Alenia Space,France/Italy,Vandenberg AFB,Delta 7000,2007-023A,31598,"To be part of 4-satellite constellation; radar imager, collect data on floods, droughts, earthquakes and landslides; military applications."
High,97.9,-0.16293902173928299,-0.595850040139455,COSMO-Skymed 2 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Italy,Italian Space Agency/Ministry of Defense,Military/Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,622,623,7.150518412584913e-5,97.2,1700,NA,NA,2007-12-09T00:00:00Z,5,Thales Alenia Space,Italy,Vandenberg AFB,Delta 2,2007-059A,32376,Earth imaging; synthetic aperture radar (SAR) operating in X-band.
High,97.9,-0.16293902173928299,-0.595850040139455,COSMO-Skymed 3 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Italy,Italian Space Agency/Ministry of Defense,Military/Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,622,623,7.150518412584913e-5,97.2,1700,NA,NA,2008-10-25T00:00:00Z,5,Thales Alenia Space,Italy,Vandenberg AFB,Delta 7420,2008-054A,33412,"Earth imaging; synthetic aperture radar (SAR) operating in X-band, focus on Mediterranean security."
High,97.9,-0.16293902173928299,-0.595850040139455,COSMO-Skymed 4 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Italy,Italian Space Agency/Ministry of Defense,Military/Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,622,623,7.150518412584913e-5,97.2,1700,NA,NA,2010-11-06T00:00:00Z,5,Thales Alenia Space,Italy,Vandenberg AFB,Delta 2,2010-060A,37216,"Earth imaging; synthetic aperture radar (SAR) operating in X-band, focus on Mediterranean security."
High,99.1,-0.007125416264905368,-0.5980432663325488,CP-10 (Exocube),NR,USA,California Polytechnic State University/NASA JPL,Civil,Earth Observation,Earth Science,LEO,Elliptical,0,441,657,0.015609192079780315,95.6,4,NA,NA,2015-01-31T00:00:00Z,NA,California Polytechnic University/NASA JPL,USA,Vandenberg AFB,Delta 2,2015-003E,40380,Measuring the Elemental Composition of the Exosphere
High,92,-0.15587522783239702,-0.5931085073980875,Cryosat-2,ESA,ESA,European Space Agency (ESA),Government,Earth Observation,Radar Imaging,LEO,Polar,0,713,724,7.759046342667701e-4,99.2,720,NA,NA,2010-04-08T00:00:00Z,3,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Dnepr,2010-013A,36508,"Remote sensing, part of ESA's ice mission. Will measure polar ice for three years. Spacecraft has no solar panels."
High,97.7,-0.1513941371552676,-0.5970837298730702,CSIM-FD (Compact Spectral Irradiance Monitor - Flight Demonstration),NR (3/19),USA,University of Colorado,Civil,Space Science,NA,LEO,Sun-Synchronous,0,573,590,0.0012227576781989498,96.3,6,NA,NA,2018-12-03T00:00:00Z,NA,Blue Canyon Technologies,USA,Vandenberg AFB,Falcon 9,2018-099AM,43793,Space science.
High,98.6,-0.1636560834630505,-0.5908193275590458,CSO-1 (Optical Space Component-1),NR (3/19),France,Directorate General of Armaments (DGA),Military,Earth Observation,Multispectral Imaging,LEO,Sun-Synchronous,0,800,800,0,100.87,3565,NA,NA,2018-12-19T00:00:00Z,10,Centre National D'études Spatiales (CNES),France,Guiana Space Center,Soyuz,2018-106A,43866,"Part of the MUSIS (Multinational Space-based Imaging System) programme, is resolutely open to European partnerships through bilateral agreements."
High,51.6,-0.16217548281239516,-0.6024297187187367,CSUNSAT-1 (California State University at Northridge Satellite),USA,USA,California State University at Northridge/NASA JPL,Civil,Technology Development,NA,LEO,Non-Polar Inclined,0,402,404,1.4764506127270044e-4,92.4,4,NA,NA,2017-05-18T00:00:00Z,NA,California State University at Northridge/NASA JPL,USA,International Space Station,Nanorack Deployer,1998-067LW,42815,"Space test a low temperature capable, battery/ultra-capacitor power system."
High,97.8,-0.07728686906818127,-0.5950275803170447,"Cubebug 2 (Manolito, LO-74)",NR,Argentina,"Argentinian Ministry of Science, Technology and Productive Innovation/Radio Club Bariloche",Civil,Technology Development,NA,LEO,Sun-Synchronous,0,594,715,0.008612712648587088,97.8,2,NA,NA,2013-11-21T00:00:00Z,NA,"Argentinian Ministry of Science, Technology and Productive Innovation",Argentina,Dombarovsky Air Base,Dnepr,2013-066AA,39440,Amateur radio satellite.
High,51.6,-0.15773368086042916,-0.6021555654445999,CubeRRT,NR (3/19),USA,Ohio State University/NASA,Civil/Government,Technology Development,NA,LEO,Non-Polar Inclined,0,399,407,5.905802450908018e-4,92.6,6,NA,NA,2018-07-13T00:00:00Z,NA,Ohio State University/NASA,USA,International Space Station,Nanorack Deployer,1998-067NU,43546,"Test a new signal processor to mitigate radio interference impacting microwave radiometer measurements of soil moisture, atmospheric water vapor, sea surface temperature and winds from orbit."
High,85.04,-0.15125318498963428,-0.5992769560661642,CubeSail USAT,NR (3/19),USA,University of Illinois Urbana-Champaign,Civil,Technology Development,NA,LEO,Polar,0,494,511,0.0012368133866860677,94.7,3,NA,NA,2018-12-16T00:00:00Z,NA,University of Illinois Urbana-Champaign,USA,Rocket Lab Launch Complex 1,Electron,2018-104K,43858,Consists of two 1.5-unit CubeSats; will separate once in orbit and unspool a 250-meter solar sail ribbon between the two. Test novel approaches to using solar sails for propulsion.
High,98.7,-0.15319924487401132,-0.5902298980196518,"Cubesat XI-IV (Oscar 57, CO-57)",Japan,Japan,"Department of Astronautics, University of Tokyo",Civil,Technology Development,NA,LEO,Sun-Synchronous,0,815,830,0.0010427528675703858,101.3,NA,1,NA,2003-06-30T00:00:00Z,NA,"Department of Astronautics, University of Tokyo",Japan,Plesetsk Cosmodrome,Dnepr,2003-031J,27848,On-orbit verification of the super small satellite (nano-satellite) bus system using commercial-off-the-shell components.
High,80.99,0.6223885967135435,-0.5880503794902647,CUSat-1 (Cornell University Satellite 1),NR,USA,"Space Systems Design Studio, Cornell University",Civil,Technology Development,NA,LEO,Polar,0,326,1465,0.07838414424334182,102.89,NA,NA,2.2000000000000002,2013-09-29T00:00:00Z,0.5,"Space Systems Design Studio, Cornell University",USA,Vandenberg AFB,Falcon 9,2013-055B,39266,"A multi-year effort to design, build, and launch an autonomous in-orbit inspection satellite system."
High,51.6,-0.1592142815110845,-0.6021555654445999,CXBN-2 (Cosmic X-Ray Background Nanosatellite-2),USA,USA,Morehead State University,Civil,Space Science,NA,LEO,Non-Polar Inclined,0,400,406,4.429351838181013e-4,92.6,2,NA,NA,2017-04-18T00:00:00Z,0.5,Morehead State University,USA,International Space Station,Nanorack Deployer,1998-067LM,42704,Make observations of the diffuse X-ray background
Low,34.96,-0.14765997118408092,-0.5986464035356497,CYGNSS FM01 (Cyclone Global Navigation Satellite System),USA,USA,University of Michigan/NASA Earth Science Technology Office,Government,Earth Observation,Radar Imaging/Earth Science,LEO,Non-Polar Inclined,0,515,537,0.0015951276102088166,95.16,29,NA,NA,2016-12-15T00:00:00Z,NA,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,2016-078D,41887,NA
Low,34.97,-0.14765765122580984,-0.5986875265267702,CYGNSS FM02 (Cyclone Global Navigation Satellite System),USA,USA,University of Michigan/NASA Earth Science Technology Office,Government,Earth Observation,Radar Imaging/Earth Science,LEO,Non-Polar Inclined,0,514,536,0.001595358955765047,95.13,29,NA,NA,2016-12-15T00:00:00Z,NA,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,2016-078C,41886,NA
Low,34.96,-0.14983624913136973,-0.5987286495178906,CYGNSS FM03 (Cyclone Global Navigation Satellite System),USA,USA,University of Michigan/NASA Earth Science Technology Office,Government,Earth Observation,Radar Imaging/Earth Science,LEO,Non-Polar Inclined,0,514,533,0.0013781098135925147,95.1,29,NA,NA,2016-12-15T00:00:00Z,NA,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,2016-078H,41891,NA
Low,34.95,-0.14983825360367833,-0.5986875265267702,CYGNSS FM04 (Cyclone Global Navigation Satellite System),USA,USA,University of Michigan/NASA Earth Science Technology Office,Government,Earth Observation,Radar Imaging/Earth Science,LEO,Non-Polar Inclined,0,515,534,0.0013779099282036405,95.13,29,NA,NA,2016-12-15T00:00:00Z,NA,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,2016-078B,41885,NA
Low,34.96,-0.14765997118408092,-0.5986601111993566,CYGNSS FM05 (Cyclone Global Navigation Satellite System),USA,USA,University of Michigan/NASA Earth Science Technology Office,Government,Earth Observation,Radar Imaging/Earth Science,LEO,Non-Polar Inclined,0,515,537,0.0015951276102088166,95.15,29,NA,NA,2016-12-15T00:00:00Z,NA,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,2016-078A,41884,"8-satellite constellation to return measurements of winds at the cores of hurricanes to better understand the formation, growth and dissipation of tropical cyclones."
Low,34.96,-0.14983825360367833,-0.598701234190477,CYGNSS FM06 (Cyclone Global Navigation Satellite System),USA,USA,University of Michigan/NASA Earth Science Technology Office,Government,Earth Observation,Radar Imaging/Earth Science,LEO,Non-Polar Inclined,0,515,534,0.0013779099282036405,95.12,29,NA,NA,2016-12-15T00:00:00Z,NA,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,2016-078F,41889,NA
Low,34.96,-0.14910994449164267,-0.598701234190477,CYGNSS FM07 (Cyclone Global Navigation Satellite System),USA,USA,University of Michigan/NASA Earth Science Technology Office,Government,Earth Observation,Radar Imaging/Earth Science,LEO,Non-Polar Inclined,0,514,534,0.001450536698578474,95.12,29,NA,NA,2016-12-15T00:00:00Z,NA,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,2016-078G,41890,NA
Low,34.95,-0.14765997118408092,-0.5986601111993566,CYGNSS FM08 (Cyclone Global Navigation Satellite System),USA,USA,University of Michigan/NASA Earth Science Technology Office,Government,Earth Observation,Radar Imaging/Earth Science,LEO,Non-Polar Inclined,0,515,537,0.0015951276102088166,95.15,29,NA,NA,2016-12-15T00:00:00Z,NA,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,2016-078E,41888,NA
High,97.88,-0.16007589488508245,-0.5956307175201455,"Daichi-2 (Advanced Land Observing Satellite-2, ALOS 2 2)",NR,Japan,Japan Aerospace Exploration Agency (JAXA),Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,630,635,3.570153516601214e-4,97.36,2120,NA,5200,2014-05-24T00:00:00Z,7,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2014-029A,39766,Follow-on to ALOS-1 mission.
High,97.3,-0.1512423472424792,-0.5994962786854735,DAMPE (Dark Matter Particle Explorer),NR,China,Chinese Academy of Sciences,Government,Space Science,NA,LEO,Sun-Synchronous,0,488,505,0.0012378941236437777,94.54,1850,NA,NA,2015-12-17T00:00:00Z,3,China Academy of Science,China,Jiuquan Satellite Launch Center,Long March 2D,2015-078A,41173,First dedicated astrophysics observatory put into space by China.
High,93.03,-0.14970061170366553,-0.6006477224368478,"DAVE (Damping and Vibrations Experiment, CP7)",USA,USA,California Polytechnic State University,Civil,Technology Development,NA,LEO,Polar,0,447,466,0.0013916355379770015,93.7,1.3,NA,NA,2018-09-15T00:00:00Z,NA,California Polytechnic University,USA,Vandenberg AFB,Delta 2,2018-070C,43615,Acquire data to characterize unknown particle damper microgravity behavior.
High,85.03,-0.14759943276788684,-0.5994140327032325,DaVinci,NR (3/19),USA,North Idaho STEM Charter Academy,Civil,Educational,NA,LEO,Polar,0,489,511,0.001601164483260553,94.6,4,NA,NA,2018-12-16T00:00:00Z,NA,North Idaho STEM Charter Academy,USA,Rocket Lab Launch Complex 1,Electron,2018-104J,43857,"Teach students about radio waves, aeronautical engineering, space propulsion, and geography by sending a communication signal to schools around the world."
High,97.46,-0.14765765122580984,-0.5986875265267702,"DCBB (Kaituo-1B, CAS-3G)",NR,China,China Amateur Satellite - CAMSAT,Civil,Technology Development,NA,LEO,Sun-Synchronous,0,514,536,0.001595358955765047,95.13,3,NA,NA,2015-09-19T00:00:00Z,NA,Shenzhen Aerospace Dongfanghong HIT Satellite Ltd./CAMSAT,China,Taiyuan Launch Center,Long March 6,2015-049P,40912,NA
High,56.1,-0.15995321506083182,-0.6021555654445999,DebrisSat-2,NR (3/19),Multinational,Multiple European aerospace companies,Government,Technology Development,NA,LEO,Non-Polar Inclined,0,398,403,3.6924894764049925e-4,92.6,100,NA,NA,2018-11-19T00:00:00Z,NA,Multiple European aerospace companies,Multinational,International Space Station,Manual Deployment,1998-067PR,43680,One of first attempts to develop system to deal with space debris.
High,98,-0.16294299890023398,-0.594753427042908,Deimos 1,Spain,Spain,Deimos Imaging/DMC International Imaging (DMCII),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,661,662,7.110858280594468e-5,98,90,NA,NA,2009-07-29T00:00:00Z,5,Surrey Satellite Technology Ltd.,UK,Baikonur Cosmodrome,Dnepr,2009-041A,35681,Part of international Disaster Monitoring Constellation.
High,97.99,-0.14784794498844828,-0.5963298083691941,Deimos 2,NR,Spain,Deimos Imaging/DMC International Imaging (DMCII),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,597,619,0.0015763829177414732,96.85,310,NA,450,2014-06-19T00:00:00Z,10,Satrec Initiative,South Korea,Dombarovsky Air Base,Dnepr,2014-033D,40013,Part of international Disaster Monitoring Constellation.
High,97.8,-0.15072029818829097,-0.5963983466877284,Delfi-C3 (DO-64),NR,Netherlands,"Technical University, Delft",Civil,Technology Development,NA,LEO,Sun-Synchronous,0,598,616,0.0012899527017342697,96.8,6.5,NA,NA,2008-04-28T00:00:00Z,NA,Technical University of Delft,Netherlands,Satish Dhawan Space Centre,PSLV C9,2008-021G,32789,Flight test thin film solar cells and an advanced transceiver.
High,51.6,-0.15921559274413302,-0.6020184888075316,Delfini-1,NR (3/19),Denmark,Aarhus University,Civil,Technology Development/Education,NA,LEO,Non-Polar Inclined,0,402,408,4.4280442804428045e-4,92.7,4,NA,NA,2019-01-31T00:00:00Z,NA,"Departments of Physics and Astronomy, Engineering, and Geoscience.",Denmark,International Space Station,Nanorack Deployer,1998-067PW,44030,University's first satellite. Collaborative education effort between departments.
High,51.6,-0.16143501852243286,-0.6021555654445999,Dellingr,NR (3/18),USA,NASA Goddard Space Flight Center,Government,Technology Development,NA,LEO,Non-Polar Inclined,0,401,404,2.2148394241417498e-4,92.6,12,NA,NA,2017-11-20T00:00:00Z,1,NASA Goddard Space Flight Center,USA,International Space Station,Nanorack Deployer,1998-067NJ,43021,Developed as a new state-of-the-art small satellite platform.
Low,24.5,0.05373955365713542,-0.6006477224368478,DHFR (DARPA High Frequency Receiver),NR,USA,DARPA (Defense Advanced Research Projects Agency),Military,Technology Development,NA,LEO,Equatorial,0,309,605,0.02167862897319467,93.7,8,NA,NA,2017-08-26T00:00:00Z,NA,DARPA/University of Utah,USA,Cape Canaveral,Minotaur 4,2017-050D,42924,Hosts a high frequency receiver.
High,97.45,-0.15271394167914648,-0.5969466532360019,Diamond Blue (3 Diamonds 1),United Kingdom,United Kingdom,"Sky and Space Global, UK",Commercial,Technology Development,NA,LEO,Sun-Synchronous,0,496,511,0.0010911471593802284,96.4,6,NA,NA,2017-06-23T00:00:00Z,NA,GomSpace ApS,Denmark,Satish Dhawan Space Centre,PSLV,2017-036X,42786,Pathfinders for Sky and Space Global's 200 Satellite LEO constellation.
High,97.45,-0.15271394167914648,-0.5969466532360019,Diamond Green (3 Diamonds 2),United Kingdom,United Kingdom,"Sky and Space Global, UK",Commercial,Technology Development,NA,LEO,Sun-Synchronous,0,496,511,0.0010911471593802284,96.4,6,NA,NA,2017-06-23T00:00:00Z,NA,GomSpace ApS,Denmark,Satish Dhawan Space Centre,PSLV,2017-036W,42785,Pathfinders for Sky and Space Global's 200 Satellite LEO constellation.
High,97.45,-0.15271394167914648,-0.5969466532360019,Diamond Red (3 Diamonds 3),United Kingdom,United Kingdom,"Sky and Space Global, UK",Commercial,Technology Development,NA,LEO,Sun-Synchronous,0,496,511,0.0010911471593802284,96.4,6,NA,NA,2017-06-23T00:00:00Z,NA,GomSpace ApS,Denmark,Satish Dhawan Space Centre,PSLV,2017-036U,42783,Pathfinders for Sky and Space Global's 200 Satellite LEO constellation.
High,97.5,-0.15490045930104068,-0.5994140327032325,Dido-2,NR,Switzerland,SpacePharma,Commercial,Technology Development,NA,LEO,Sun-Synchronous,0,496,508,8.731082654249127e-4,94.6,10,NA,NA,2017-02-15T00:00:00Z,NA,Innovative Solutions in Space BV,Netherlands,Satish Dhawan Space Centre,PSLV XL,2017-008BE,42000,"To test a miniaturized end-to-end pharmaceutical laboratory in space, allowing microgravity conditions."
Low,0.04,-0.16329926631005315,1.2394690535689465,DirecTV-10,USA,USA,"DirecTV, Inc.",Commercial,Communications,NA,GEO,NA,-102.74,35785,35788,3.5581701516966544e-5,1436.1,5900,3700,18000,2007-07-07T00:00:00Z,15,Boeing Space & Intelligence Systems,USA,Baikonur Cosmodrome,Proton M,2007-032A,31862,32 broad-beam Ka band; 55 spot-beam Ka-band transponders; will provide HDTV to CONUS.
Low,0.03,-0.1636560834630505,1.2394690535689465,DirecTV-11,USA,USA,"DirecTV, Inc.",Commercial,Communications,NA,GEO,NA,-99.21,35786,35786,0,1436.1,5900,NA,NA,2008-03-19T00:00:00Z,NA,Boeing Satellite Development Center,USA,Sea Launch Odyssey,Zenit 3SL,2008-013A,32729,High definition channels for North America.
Low,0.09,-0.16353714159061525,1.2393868075867056,DirecTV-12,USA,USA,"DirecTV, Inc.",Commercial,Communications,NA,GEO,NA,-102.8,35785,35786,1.1860848525103486e-5,1436.04,5900,NA,"8,700 (BOL)",2009-12-29T00:00:00Z,15,Boeing Space Systems,USA,Baikonur Cosmodrome,Breeze M,2009-075A,36131,High-definition for North America.
Low,0.02,-0.16330048939876596,1.2496264323757127,DirecTV-14,USA,USA,"DirecTV, Inc.",Commercial,Communications,NA,GEO,NA,-99,35930,35933,3.545973547037339e-5,1443.51,5900,NA,20000,2014-12-06T00:00:00Z,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2014-078B,40333,20-kilowatt Ka- and reverse-band digital broadcast satellite (DBS) that will ultimately bring 4K UHD content to DirecTV’s US customers.
Low,0.1,-0.1488938091123823,1.2366863978364586,DirecTV-15,NR,USA,"DirecTV, Inc.",Commercial,Communications,NA,GEO,NA,-103,35685,35809,0.0014720896550086664,1434.07,5500,2364,NA,2015-05-27T00:00:00Z,15,Airbus Defense and Space,Germany/France,Guiana Space Center,Ariane 5 ECA,2015-026A,40663,"Expand national capacity for both HD and 4K Ultra HD channels, as well as provide critical backup for existing CONUS transponders."
Low,0.05,-0.16222879792264505,1.2394553459052398,DirecTV-4S,USA,USA,"DirecTV, Inc.",Commercial,Communications,NA,GEO,NA,-101.15,35780,35792,1.4232849416453175e-4,1436.09,4300,2100,"8,100 (EOL)",2001-11-27T00:00:00Z,15,Hughes Space and Communications Co.,USA,Guiana Space Center,Ariane 44LP,2001-052A,26985,Direct broadcasting; 48 Ku-band; 300 local TV channels to 41 metropolitan communities through 11 C-band transponders.
Low,0.07,-0.16056363145883873,1.2394416382415328,DirecTV-5 (Tempo 1),USA,USA,"DirecTV, Inc.",Commercial,Communications,NA,GEO,NA,-110.05,35773,35799,3.083784040231521e-4,1436.08,4300,3640,NA,2002-05-07T00:00:00Z,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,2002-023A,27426,Digital television to North American subscribers; 32 Ku-band; direct broadcasting.
Low,0.01,-0.16092042039703972,1.2394690535689465,DirecTV-7S,USA,USA,"DirecTV, Inc.",Commercial,Communications,NA,GEO,NA,-119.04,35774,35797,2.7279951607738016e-4,1436.1,5483,3500,13000,2004-05-04T00:00:00Z,15,Space Systems/Loral,USA,Sea Launch Odyssey,Zenit 3SL,2004-016A,28238,Direct-to-home TV; 54 transponders.
Low,0.02,-0.16139624149406728,1.2394690535689465,DirecTV-8,USA,USA,"DirecTV, Inc.",Commercial,Communications,NA,GEO,NA,-100.81,35777,35796,2.2535077627412143e-4,1436.1,3800,NA,8200,2005-05-22T00:00:00Z,12,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M/Breeze M,2005-019A,28659,36 Ku- and Ka-band transponders.
